# Live top-level children of Figma page 4914:113562 ("✅ Social") in file 3sSzw1KewMtUbeLAv7uW0r.
# Harvested 2026-08-20 via use_figma (page.children, in document order). n = 442.
# Columns: nodeId <TAB> type <TAB> WxH <TAB> x,y <TAB> live name (VERBATIM — trailing spaces,
# double spaces and the stray ")" on 11400:91695 are all as Figma holds them; do not tidy).
# Node ids use COLONS here (Figma's native form). registry.json / *.nodes.txt use DASHES.
10216:138151	FRAME	1440x900	31048,6401	Skai > Social > Messages > Sample Conversation > attachment 1VH (1440 x 900px)
10215:137087	FRAME	1440x900	34528,5201	Skai > Social > Messages > Sample Conversation - scroll effect 1VH (1440 x 900px)
5162:265801	FRAME	1440x900	32788,12143	Skai > Social > Messages > Sample Conversation > Dropdown options 1VH (1440 x 900px)
10213:136686	FRAME	163x130	32561,4053	dropdown - tridots
11530:303299	FRAME	160x124	37438,4001	dropdown - tridots
11530:303318	FRAME	160x124	40227,4001	dropdown - tridots
10215:137653	FRAME	218x206	32506,5670	dropdown - tridots - reply
11530:303337	FRAME	200x196	40187,5201	dropdown - tridots - reply
11530:303366	FRAME	200x196	37398,5201	dropdown - tridots - reply
10216:182394	FRAME	218x206	32506,15953	dropdown - right click
11380:24252	FRAME	200x196	40187,15743	dropdown - right click
11387:73530	FRAME	200x196	37398,15743	dropdown - right click
5164:266351	FRAME	1440x900	32788,13343	Skai > Social > Messages > Sample Conversation > Unread messages 1VH (1440 x 900px)
10216:182243	FRAME	374x96	32297,13885	Reply from another.
5198:9151	FRAME	1440x900	32788,19343	Skai > Social > Messages > Sample Conversation > Unread messages 1VH (1440 x 900px)
5165:269440	FRAME	1440x900	32788,16943	Skai > Social > Messages > Sample Conversation > Chat settings 1VH (1440 x 900px)
5164:266951	FRAME	1440x900	32788,14543	Skai > Social > Messages > Sample Conversation > Groups 1VH (1440 x 900px)
5164:267630	FRAME	1440x900	32788,15743	Skai > Social > Messages > Sample Conversation > Message requests 1VH (1440 x 900px)
5171:270124	FRAME	1440x900	32788,18143	Skai > Social > Messages > Sample Conversation > Message requests > Sample message 1VH (1440 x 900px)
5160:207895	FRAME	1440x900	32788,8543	Skai > Social > Messages > Sample Conversation > multi-select / profile 1VH (1440 x 900px)
5161:209418	FRAME	1440x900	32788,9743	Skai > Social > Messages > Sample Conversation > multi-select / profile > Disappearing message options 1VH (1440 x 900px)
5162:265168	FRAME	1440x900	32788,10943	Skai > Social > Messages > Sample Conversation > multi-select / profile > Block screenshots 1VH (1440 x 900px)
5154:206768	FRAME	1440x1842	32788,6401	Skai > Social > Messages - Sample conversation (1440 x 900px)
5153:206244	FRAME	1440x900	32788,4001	Skai > Social > Messages 1VH (1440 x 900px)
4998:157146	FRAME	1440x900	17482,6352	Skai > Social > Live > Stream type modal 1VH (1440 x 900px)
5443:82417	FRAME	796x224	19022,6730	card
4943:129014	FRAME	1440x2051	17482,4001	Skai > Social > Live (1440 x 900px)
4948:141994	FRAME	1440x900	10,19359	Skai > Launch > create token 1VH (1440 x 900px)
5114:194778	FRAME	1440x900	10,23324	Skai > Social > Sample post / token 1VH (1440 x 900px)
5116:199727	FRAME	1440x900	10,24524	Skai > Social > Sample post / token - chart 1VH (1440 x 900px)
9640:211967	FRAME	1440x900	-1630,24524	Skai > Social > Sample post / token - chart ALT 1VH (1440 x 900px)
9658:217019	FRAME	1440x900	-1630,42428	Skai > Social > My post / token - chart ALT 1VH (1440 x 900px)
5222:11064	FRAME	1440x900	10,42428	Skai > Social > My post / token - chart 1VH (1440 x 900px)
5222:11708	FRAME	1440x900	10,43628	Skai > Social > My post / token - chart > upload image 1VH (1440 x 900px)
5115:197431	FRAME	506x1040	1550,23539	Simple - Right panel
9636:211487	FRAME	506x570	3974,24009	SRP - bottom - Comments - holder
5115:198181	FRAME	506x684	2156,24009	SRP - bottom - Holders
5116:198982	FRAME	506x620	2762,24009	SRP - bottom - Activity
5116:199550	FRAME	506x348	3368,24009	SRP - bottom - Details
4948:142325	FRAME	1440x2465	10,20559	Skai > Launch > create token (1440 x 900px)
9636:211231	FRAME	680x1151	1550,20699	Token image - with input
4948:143194	WIDGET	342x363	1859,19628	Notes
5000:158255	FRAME	1440x900	17482,7552	Skai > Social > Live > Stream type modal > Sample stream 1VH (1440 x 900px)
10094:247131	FRAME	1440x900	17482,14000	Skai > Social > Live > Go live 1VH (1440 x 900px)
10094:250637	FRAME	1440x900	17482,15200	Skai > Social > Live > Go live > setup stream 1VH (1440 x 900px)
10094:253395	FRAME	1440x900	17482,16400	Skai > Social > Live > Go live > setup stream > Skai studio > select thumbnail 1VH (1440 x 900px)
10102:259223	FRAME	1440x900	17482,18800	Skai > Social > Live > Go live > setup stream > Skai studio > select thumbnail > starting stream 1VH (1440 x 900px)
10136:262502	FRAME	1440x900	17482,20000	Skai > Social > Live > Go live > setup stream > Skai studio > select thumbnail > starting stream > stream manager 1VH (1440 x 900px)
10155:268046	FRAME	1440x900	17482,21200	Skai > Social > Live > Go live > setup stream > Skai studio > select thumbnail > starting stream > stream manager > invite guests 1VH (1440 x 900px)
10102:261907	FRAME	1015x571	16367,18880	Stream states - stream ended
10094:256369	FRAME	1440x900	17482,17600	Skai > Social > Live > Go live > setup stream > OBS 1VH (1440 x 900px)
10094:250606	FRAME	564x488	16818,14122	Terms and conditions - Agree
10025:225705	FRAME	1440x900	21275,7552	Skai > Social > Live > Stream type modal > Sample stream > Chat settings 1VH (1440 x 900px)
10025:228194	FRAME	1440x900	21275,8752	Skai > Social > Live > Stream type modal > Sample stream > Stream viewers 1VH (1440 x 900px)
10091:230847	FRAME	1440x900	21275,9952	Skai > Social > Live > Stream type modal > Sample stream > Pop out chat 1VH (1440 x 900px)
