section	nodeId	change	title	why	implFiles
governance	11314-139153	ADDED	dropdown-delegate type	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11314-138452	ADDED	Claimed - not 100% represented	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11314-138456	ADDED	Claimed - not 100% represented - claimed	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11314-139131	ADDED	dropdown-multiselect	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11322-142230	ADDED	dropdown-courses	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11344-143602	ADDED	dropdown-multiselect	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11345-144023	ADDED	dropdown-main	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11345-146380	ADDED	dropdown-Active TWAPs	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11345-146410	ADDED	dropdown-multiselect	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11349-148487	ADDED	Additional information	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11349-148646	ADDED	dropdown-multiselect	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11349-148686	ADDED	dropdown-addresses	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11349-148702	ADDED	dropdown-Chart	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11370-187312	ADDED	sidebar - open airdrop	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
governance	11370-188203	ADDED	sidebar - open yield vaults	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
home-2	13346-161181	ADDED	Directory	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
home-2	13346-161188	ADDED	Rectangle 162	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11410-140747	ADDED	Breakpoint	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11410-140757	ADDED	Breakpoint	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11410-140557	ADDED	Breakpoint	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11410-140559	ADDED	Breakpoint	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11341-20652	ADDED	Breakpoint	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11341-20654	ADDED	Breakpoint	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11398-85185	ADDED	Breakpoint	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11398-85187	ADDED	Breakpoint	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11442-169953	ADDED	modal	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11442-177484	ADDED	modal	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
