# bug-report Figma node-id -> catalog frame that covers it
# reason: child     = referenced node is a descendant of the catalog frame
#         page      = report linked a whole Figma page, not a frame
#         gone      = node-id no longer resolves in the Figma file
#         copy-file = report linked a DUPLICATE Figma file; node-ids are
#                     preserved by a Figma file copy, so the same id in the
#                     primary Skai-Web-App file is the covering frame
# a refNode may carry a "<fileKey>:" prefix when it is not the primary file
# refNode	catalogNode	reason	refs	openRefs	sampleReportId8
6962-75793	6962-75733	child	1	0	294a06bf
7479-136147	7479-135805	child	1	1	6ba7da5c
7491-148673	7491-148345	child	1	1	d62bd7df
7491-148751	7491-148345	child	1	0	40ca9eec
7491-148752	7491-148345	child	1	1	b4dac024
7532-161697	3163-21315	child	1	1	bf32b4bf
7704-46371	7704-46353	child	2	0	a36cc1e6
7704-46446	7704-46353	child	1	0	7bea8bac
7710-91529	7710-91527	child	4	1	130b296f
7710-91552	7710-91527	child	1	0	17c0df46
7710-92603	7710-91527	child	1	0	555f566f
7710-92859	7710-91527	child	1	0	c786c070
7710-92892	7710-91527	child	1	0	1f78ea2d
7710-92893	7710-91527	child	1	0	51825983
7710-92977	7710-91527	child	2	0	2eab8a89
7712-33158	7710-91527	child	1	0	9ce1ad9a
7713-15131	7713-14212	child	1	0	bd602e02
7713-15656	7713-15272	child	1	0	28006e50
7717-13083	7717-12740	child	1	0	c844152a
7717-13759	7717-13587	child	1	0	2716a525
7717-14675	7717-14343	child	1	0	f8950361
7804-75583	7804-74178	child	1	0	4c4e00dc
7804-75591	7804-74178	child	5	0	2f3a7332
7804-75627	7804-74178	child	1	0	666f400f
7804-75657	7804-74178	child	1	0	318d592b
7804-75694	7804-74178	child	1	0	e324852f
7804-76669	7804-74178	child	1	0	04f3cd91
7806-82382	7805-80831	child	1	0	118810df
7892-19100	7892-18412	child	1	1	942d5e09
7892-23372	7892-23422	child	1	1	f34eea56
7911-41829	7911-42082	child	1	1	218fb9c5
7911-41858	7911-42082	child	1	1	d6b90fc3
7911-41913	7911-42082	child	1	1	0a45c8e8
7911-43153	7911-42551	child	1	1	f1fafe30
7911-43159	7911-42551	child	2	2	6362f3c7
7911-43171	7911-42551	child	1	1	dd183380
7911-43180	7911-42551	child	1	1	6477aeb8
7911-43477	7911-42701	child	1	1	a6d73ffa
7926-20508	7926-20708	child	1	0	058c9f9f
7935-64782	7935-65088	child	1	0	f19607e0
7935-64790	7935-65088	child	1	0	471ab840
7935-65285	7935-65586	child	3	0	d213b729
7935-66868	7935-66663	child	3	0	631450ba
7935-66869	7935-66663	child	1	0	b6181398
7935-67059	7935-67057	child	1	0	4d8083ef
7935-67595	7935-66144	child	4	0	4f46a79a
7935-67717	7935-66144	child	1	0	b88b6757
7935-67718	7935-66144	child	1	0	321d467d
7935-67719	7935-66144	child	1	0	c7e905e2
7935-67729	7935-66144	child	1	0	e4aa700a
7935-67730	7935-66144	child	1	0	ae5f80b5
7935-67744	7935-66144	child	1	0	3bd9108a
7935-67765	7935-66144	child	2	0	51bdce13
7935-68228	7935-66663	child	2	0	0b92d9a0
7935-68230	7935-66663	child	1	0	221e7de0
7935-68834	7935-69066	child	1	0	239a7da7
7935-68847	7935-69066	child	1	0	23bc500e
7935-68848	7935-69066	child	1	0	eda64480
7935-68868	7935-69066	child	1	0	377a1d31
7935-68874	7935-69066	child	1	0	688660f1
7935-70989	7935-71574	child	1	0	ffef0525
7959-21700	8045-104960	child	1	0	25264cd6
7960-21962	8045-105580	child	1	0	c05d0b70
8043-22686	8045-105652	child	2	0	63a7bb95
8043-22706	8045-105652	child	1	0	152ad231
8043-22707	8045-105652	child	3	0	a95bb63b
8043-22711	8045-105652	child	1	0	4f21cbe5
8043-22712	8045-105652	child	1	0	b3a4f0eb
8043-22720	8045-105652	child	1	0	058555ed
8043-22761	8045-105652	child	2	0	0c1b45ca
8043-22905	8045-105688	child	1	0	4b6c4feb
8043-23249	8045-105868	child	2	0	5c65d272
8043-23384	8045-105904	child	2	0	0564bbbc
8043-23442	8045-105904	child	1	0	2cf75a7e
8043-23545	8045-105940	child	1	0	219a1ab3
8043-23552	8045-105940	child	2	0	7d6ec188
8043-23553	8045-105940	child	1	0	1def9e4d
8043-23580	8045-105940	child	1	0	1016f775
8043-23599	8045-105940	child	1	0	e0772fe4
8043-26847	8045-114061	child	1	0	c561272d
8043-26866	8045-114061	child	2	0	496d0542
8043-26910	8045-114368	child	1	0	6dfa5825
8043-26926	8045-114368	child	1	0	0692c017
8043-26938	8045-114368	child	2	0	054476dd
8043-26949	8045-114368	child	1	0	a6c597c2
8043-26977	8045-114368	child	1	0	4f077155
8043-27037	8045-115167	child	1	1	ea45708a
8043-27058	8045-115167	child	2	2	2ea7f63d
8043-27059	8045-115167	child	1	1	3d0ab2c4
8043-27060	8045-115167	child	2	2	07a4bd83
8043-27068	8045-115167	child	4	4	9676c0bf
8043-27108	8045-115167	child	1	1	4fe00f68
8043-27169	8045-115490	child	1	1	f6ccc73e
8043-27253	8045-115490	child	1	1	0e20b8e7
8043-27726	8045-116170	child	1	1	eb256631
8043-27760	8045-116170	child	1	1	956660b3
8043-27814	8045-116170	child	1	1	2e3016ab
