# bug-report Figma node-id -> catalog frame that covers it
# reason: child     = referenced node is a descendant of the catalog frame
#         page      = report linked a whole Figma page, not a frame
#         gone      = node-id no longer resolves in the Figma file
#         copy-file = report linked a DUPLICATE Figma file; node-ids are
#                     preserved by a Figma file copy, so the same id in the
#                     primary Skai-Web-App file is the covering frame
# a refNode may carry a "<fileKey>:" prefix when it is not the primary file
# refNode	catalogNode	reason	refs	openRefs	sampleReportId8
mhF3BkzlTaGiLzJ7kvpmVc:2899-15849	2899-15797	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:5778-33822	5778-29088	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:5778-33830	5778-29088	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:5778-33835	5778-29088	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:5812-127629	5812-123481	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:5812-127683	5812-123481	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:5854-62644	5854-51123	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:5854-81627	5854-80845	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:5902-146338	5902-145290	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6250-92939	6250-92865	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6250-93271	6250-93084	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6250-93707	6250-93706	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6250-94274	6250-93916	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6415-45116	6415-45113	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6415-45117	6415-45113	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6419-45431	6415-45113	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6419-45467	6415-45113	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6419-45946	6419-45553	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6704-28468	6704-27342	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:6736-39218	6736-39216	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-112049	13008-111656	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-112375	13008-112079	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-113316	13008-113198	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-114061	13008-114000	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-114094	13008-114086	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-114136	13008-114086	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-114177	13008-114086	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-114218	13008-114086	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-114260	13008-114086	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-114298	13008-114086	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-115790	13008-115463	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-115805	13008-115463	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-115809	13008-115463	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-115810	13008-115463	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-115845	13008-115820	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-115961	13008-115820	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-116900	13008-116645	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-117800	13008-117799	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-118510	13008-118480	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9163-5404	9163-4859	child	1	1	
4595-50012	4595-49807	child	1	1	
4601-61604	4595-49807	child	1	1	
4601-61631	4595-49807	child	1	1	
4623-65447	4623-65430	child	1	1	
4711-28435	4711-28434	child	1	1	
4714-32435	4711-28434	child	1	1	
4714-32714	4711-28434	child	1	1	
4765-64039	4765-64029	child	1	1	
4765-64067	4765-64029	child	1	1	
4765-64077	4765-64029	child	1	1	
4765-64087	4765-64029	child	1	1	
4765-64116	4765-64029	child	1	1	
4765-64829	4765-64029	child	1	1	
4765-65172	4765-64029	child	1	1	
4792-35540	4792-34490	child	1	1	
4798-57447	4798-57445	child	1	1	
9099-146833	9099-146637	child	1	1	
9099-147294	9099-146637	child	1	1	
9099-147398	9099-146637	child	1	1	
9103-161891	9099-146637	child	1	1	
9112-13226	4711-28434	child	1	1	
9112-13278	4711-28434	child	1	1	
9113-76099	4711-28434	child	1	1	
9170-12768	4765-64029	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-79081	9003-79079	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-79085	9003-79079	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-79147	9003-79079	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9104-6850	9003-79079	child	1	1	
3288-23301	3288-23300	child	1	1	
3350-32945	3350-32943	child	1	1	
3445-64377	3445-64375	child	1	1	
3447-65971	3445-64375	child	1	1	
3450-67210	3445-64375	child	1	1	
3471-7574	3471-7251	child	1	1	
3531-21222	3531-21220	child	1	1	
3553-5222	3553-5220	child	1	1	
3562-40418	3562-40397	child	1	1	
3562-40426	3562-40397	child	1	1	
3562-40436	3562-40397	child	1	1	
8583-128777	8583-127820	child	1	1	
8583-132891	3269-17599	child	1	1	
8610-162944	8583-127820	child	1	1	
8610-164237	8610-163972	child	1	1	
8610-164278	8610-163972	child	1	1	
8610-164280	8610-163972	child	1	1	
8659-71619	8610-163972	child	1	1	
8687-54506	8687-54504	child	1	1	
8827-133388	3445-64375	child	1	1	
8827-135069	8583-127820	child	1	1	
8909-137259	3546-25568	child	1	1	
8909-137997	3553-5220	child	1	1	
8911-163474	8911-163462	child	1	1	
8911-165814	8911-163462	child	1	1	
8911-165885	8911-163462	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:9746-173724	9746-173030	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-142709	9003-142707	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-142712	9003-142707	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-142775	9003-142707	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-142812	9003-142707	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-143059	9003-142707	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-143184	9003-142707	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-143292	9003-142707	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-143343	9003-142707	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9212-20911	9212-20910	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9212-21445	9003-142707	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3908-41228	3908-39491	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3928-67010	3903-21478	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3928-67389	3903-21478	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3928-73251	3903-22970	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3928-84939	3928-83147	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3931-89692	3931-88039	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3931-89692	3931-88039	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3962-29414	3962-8774	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3976-40708	3976-39045	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4018-42130	4018-40830	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4437-112651	4437-112650	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4437-112651	4437-112650	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4437-112655	4437-112650	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4437-112671	4437-112650	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4437-112672	4437-112650	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4437-112698	4437-112650	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4451-126609	4451-126554	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4451-127044	4451-126989	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:4459-127820	4459-127765	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7761-224662	3962-8653	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7886-84336	3903-21478	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7886-84336	3903-21478	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7886-85434	3903-21478	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7886-87844	3908-39491	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7886-91643	3903-22970	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7888-93453	3903-24462	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7888-94557	3903-24462	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7888-94828	3903-24462	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7888-94833	3903-24462	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7888-95165	3903-22970	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7888-95181	3903-22970	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7888-95188	3903-22970	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7890-132982	4020-47586	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7890-134142	4020-47586	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7909-43414	3903-24462	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:8493-110256	4437-112650	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-134424	13006-134301	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-146207	13006-144635	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-146235	13006-146233	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-146267	13006-146233	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-146464	13006-146233	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-147304	13006-146233	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-147365	13006-146233	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-147429	13006-146233	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-147487	13006-147486	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-158615	13006-155671	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-165060	13006-162230	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-165149	13006-162230	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-191527	13006-188690	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-194608	13006-191789	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-194613	13006-191789	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-194652	13006-191789	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-201800	13006-198981	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-201814	13006-198981	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-204639	13006-201820	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-207496	13006-204666	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-210579	13006-210576	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-210718	13006-210576	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-212013	13006-210576	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-212076	13006-210576	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-212078	13006-210576	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-212219	13006-210576	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-252007	13006-250464	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-252239	13006-252220	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13006-252244	13006-252220	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3023-12587	3023-11938	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3023-15259	3023-11938	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3023-15273	3023-11938	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3026-16854	3026-16493	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3026-16856	3026-16493	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3044-17483	3026-16493	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3046-17493	3026-16493	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3046-17494	3026-16493	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3070-854	3070-775	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:3070-882	3070-775	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-136166	7479-135805	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-136553	7479-136195	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-136567	7479-136195	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-136575	7479-136195	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-137155	7479-136955	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-137162	7479-136955	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-137167	7479-136955	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-137175	7479-136955	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-137527	7479-137328	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7479-139312	7479-137772	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7482-144455	7482-144255	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7491-148664	7491-148345	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7491-148699	7491-148345	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7491-148700	7491-148345	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7491-148716	7491-148345	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7491-149453	7491-148345	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7492-150283	7491-148345	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:7492-150310	7491-148345	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:9941-238158	7482-142212	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:9941-238158	7482-142212	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-28901	13008-28886	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-28908	13008-28886	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-28946	13008-28886	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-29809	13008-29693	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-29852	13008-29837	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-29859	13008-29837	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-30032	13008-30018	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-32473	13008-31653	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-36181	13008-36166	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-36228	13008-36166	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-36541	13008-36367	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-36714	13008-36677	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-37464	13008-37430	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-37537	13008-37523	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-37635	13008-37621	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-37660	13008-37621	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:13008-37672	13008-37621	child	1	1	
# 2026-08-18: the 15 SKAI Cross frames. Figma page 9660:2 was renamed to
# "Price Grid" and its contents replaced wholesale — these ids no longer
# resolve. Recorded gone (NOT deleted) so the rows survive for the record and
# leave page-coverage math. None carried implFiles, notes or a triaged status.
M6r9FEn042UWTQD1zvy6GM:9660-3	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9660-4	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9661-10	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9662-21	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9662-28	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9662-38	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9662-39	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9663-457	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9669-153	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9669-518	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9669-1019	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9669-1520	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9669-2026	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9669-2492	-	gone	0	0	-
M6r9FEn042UWTQD1zvy6GM:9669-2966	-	gone	0	0	-
# 2026-08-18: ids dropped by the live re-harvest of this date. Kept in their
# section files and recorded gone, so no catalog row is deleted. Per-row
# detail (including the hand-set work each carried) is in figma-drift.games.json
# and figma-drift.webapp-0818.json.
9104-6283	-	gone	0	0	-
9079-3157	-	gone	0	0	-
9079-3158	-	gone	0	0	-
9079-3160	-	gone	0	0	-
9079-3161	-	gone	0	0	-
9079-3163	-	gone	0	0	-
9079-3164	-	gone	0	0	-
9079-3166	-	gone	0	0	-
9079-3167	-	gone	0	0	-
9079-3169	-	gone	0	0	-
9079-3170	-	gone	0	0	-
9079-3172	-	gone	0	0	-
9079-3173	-	gone	0	0	-
9079-3175	-	gone	0	0	-
9079-3176	-	gone	0	0	-
9079-3178	-	gone	0	0	-
9079-3179	-	gone	0	0	-
9079-3181	-	gone	0	0	-
9079-3182	-	gone	0	0	-
9494-4451	-	gone	0	0	-
9433-15177	-	gone	0	0	-
9481-20647	-	gone	0	0	-
9481-20834	-	gone	0	0	-
9481-20845	-	gone	0	0	-
9481-21772	-	gone	0	0	-
9481-21774	-	gone	0	0	-
9481-21777	-	gone	0	0	-
9481-21778	-	gone	0	0	-
9481-21885	-	gone	0	0	-
9494-2150	-	gone	0	0	-
9494-4466	-	gone	0	0	-
9494-4467	-	gone	0	0	-
9494-7002	-	gone	0	0	-
9750-1837	-	gone	0	0	-
9737-11673	-	gone	0	0	-
9737-11679	-	gone	0	0	-
9737-11681	-	gone	0	0	-
9737-11683	-	gone	0	0	-
9737-11685	-	gone	0	0	-
9737-12395	-	gone	0	0	-
5370-60318	-	gone	0	0	-
5460-89208	-	gone	0	0	-
7528-156426	-	gone	0	0	-
11272-125846	-	gone	0	0	-
