2998-19594	Directory
7807-86028	Skai > Wallet > continue on web > home > NFTs > sample NFT > expand (768 x 1024px)
7882-19183	Overlay
7528-153278	Skai > Wallet > continue on web > home > NFTs > sample NFT > expand 1VH (1440 x 900px)
3116-21416	Skai > Wallet > continue on web > home > NFTs > sample NFT > Send 1VH (1440 x 900px)
3089-18289	Skai > Wallet > continue on web > home > crypto > sample token > sidecar - swap settings 1VH (1440 x 900px)
3149-3108	Manual slippage
3149-3184	Manual slippage
3089-18101	Swap - active
7494-151284	Swap - error
3089-18177	Swap - no value
3070-775	Skai > Wallet > continue on web > home - skin 3 1VH (1440 x 900px)
3123-3046	Skai > Wallet > continue on web > home - skin 3 (1440 x 900px)
2998-19602	Rectangle 154
3082-13491	Notes
3089-21251	Token dropdown
7804-77407	Token dropdown
7916-116270	Token dropdown
3118-22162	Notes
3118-23642	Notes
7333-76246	Rectangle 158
7333-76248	Breakpoint
7333-76250	Breakpoint
7479-135318	Skai > Wallet > continue on web > home > right-sidecar > wallet multi menu > rename wallet 1VH (1440 x 900px)
7479-137328	Skai > Wallet > continue on web > home > right-sidecar > Add wallet 1VH (1440 x 900px)
7482-141833	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing 1VH (1440 x 900px)
7479-137772	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Create new 1VH (1440 x 900px)
7482-144255	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing > Private key 1VH (1440 x 900px)
7482-145038	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Connect hardware wallet 1VH (1440 x 900px)
7482-144645	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing > Keystone 1VH (1440 x 900px)
7482-142212	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing > Recovery phrase 1VH (1440 x 900px)
7482-143789	Skai > Wallet > continue on web > home > right-sidecar > Add wallet > Import existing > Recovery phrase > Wallet name 1VH (1440 x 900px)
